93;Afganistan
355;Albania
49;Alemania
376;Andorra
244;Angola
1264;Anguila
1268;Antigua y Barbuda
966;Arabia Saudita
213;Argelia
54;Argentina
374;Armenia
297;Aruba
61;Australia
43;Austria
994;Azerbaiyan
1242;Bahamas
880;Banglades
1246;Barbados
973;Barein
32;Belgica
501;Belice
229;Benin
1441;Bermudas
375;Bielorrusia
591;Bolivia
387;Bosnia y Herzegovina
267;Botsuana
55;Brasil
673;Brunei
359;Bulgaria
226;Burkina Faso
257;Burundi
975;Butan
238;Cabo Verde
855;Camboya
237;Camerun
1;Canada
974;Catar
235;Chad
56;Chile
86;China
357;Chipre
57;Colombia
269;Comoras
850;Corea del Norte
82;Corea del Sur
225;Costa de Marfil
506;Costa Rica
385;Croacia
53;Cuba
599;Curazao y Bonaire
45;Dinamarca
1767;Dominica
593;Ecuador
1;EEUU
20;Egipto
503;El Salvador
971;Emiratos arabes Unidos
291;Eritrea
421;Eslovaquia
386;Eslovenia
34;Espana
372;Estonia
251;Etiopia
63;Filipinas
358;Finlandia
679;Fiyi
33;Francia
241;Gabon
220;Gambia
995;Georgia
233;Ghana
350;Gibraltar
1473;Granada
30;Grecia
299;Groenlandia
590;Guadalupe
1671;Guam
502;Guatemala
594;Guayana Francesa
224;Guinea
240;Guinea Ecuatorial
245;Guinea-Bisau
592;Guyana
509;Haiti
1808;Hawai
31;Holanda
504;Honduras
852;Hong Kong
36;Hungria
91;India
62;Indonesia
964;Irak
98;Iran
353;Irlanda
247;Isla Ascencion
246;Isla Diego Garcia
354;Islandia
1345;Islas Caiman
682;Islas Cook
298;Islas Feroe
500;Islas Malvinas
1670;Islas Marianas
692;Islas Marshall
677;Islas Salomon
1649;Islas Turcas
1340;Islas Virgenes
1284;Islas Virgenes Britanicas
972;Israel
39;Italia
1876;Jamaica
81;Japon
962;Jordania
7;Kazajistan
254;Kenia
996;Kirguistan
686;Kiribati
383;Kosovo
965;Kuwait
856;Laos
266;Lesoto
371;Letonia
961;Libano
231;Liberia
218;Libia
423;Liechtenstein
370;Lituania
352;Luxemburgo
853;Macao
389;Macedonia
261;Madagascar
60;Malasia
265;Malaui
960;Maldivas
223;Mali
356;Malta
212;Marruecos
596;Martinica
230;Mauricio
222;Mauritania
262;Mayotte
52;Mexico
691;Micronesia
373;Moldavia
377;Monaco
976;Mongolia
382;Montenegro
1664;Montserrat
258;Mozambique
95;Myanmar
264;Namibia
674;Nauru
977;Nepal
505;Nicaragua
227;Niger
234;Nigeria
683;Niue
672;Norfolk
47;Noruega
687;Nueva Caledonia
64;Nueva Zelanda
968;Oman
92;Pakistan
680;Palaos
970;Palestina
507;Panama
675;Papua Nueva Guinea
595;Paraguay
51;Peru
689;Polinesia Francesa
48;Polonia
351;Portugal
1787;Puerto Rico
44;Reino Unido
236;Republica Centroaficana
420;Republica Checa
242;Republica del Congo
1809;Republica Dominicana
1829;Republica Dominicana
1849;Republica Dominicana
250;Ruanda
40;Rumania
7;Rusia
1721;Saint Maarten
685;Samoa
1684;Samoa Americana
1869;San Cristobal
378;San Marino
508;San Pedro
1784;San Vicente
290;Santa Elena
1758;Santa Lucia
239;Santo Tome
221;Senegal
381;Serbia
248;Seychelles
232;Sierra Leona
65;Singapur
963;Siria
252;Somalia
94;Sri Lanka
268;Suazilandia
27;Sudafrica
249;Sudan
211;Sudan del Sur
46;Suecia
41;Suiza
597;Surinam
66;Tailandia
886;Taiwan
255;Tanzania
992;Tayikistan
670;Timor
228;Togo
690;Tokelau
676;Tonga
1868;Trinidad y Tobago
216;Tunez
993;Turkmenistan
90;Turquia
688;Tuvalu
380;Ucrania
256;Uganda
598;Uruguay
998;Uzbekistan
678;Vanuatu
379;Vaticano
58;Venezuela
84;Vietnam
681;Wallis
967;Yemen
253;Yibuti
260;Zambia
263;Zimbabue